File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(예산결산 | Keyword: 그리 | Count: 30
File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(예산결산 | Keyword: 그다음 | Count: 22
File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(예산결산 | Keyword: 필요 | Count: 14
File: 제22대국회 제418회(정기회) 제15차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 22
File: 제22대국회 제418회(정기회) 제15차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 13
File: 제22대국회 제418회(정기회) 제15차 과학기술정보방송통신위원회(전체회 | Keyword: 국민 | Count: 12
File: 제22대국회 제418회(정기회) 제15차 과학기술정보방송통신위원회(전체회 | Keyword: 그다음 | Count: 10
File: 제22대국회 제418회(정기회) 제15차 과학기술정보방송통신위원회(전체회 | Keyword [contains 원회]: 위원회 | Count: 9
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(과학기술 | Keyword: 대표발 | Count: 73
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(과학기술 | Keyword: 이렇 | Count: 14
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(과학기술 | Keyword: 그리 | Count: 8
File: 제22대국회 제418회(정기회) 제16차 과학기술정보방송통신위원회(전체회 | Keyword: 대표발 | Count: 134
File: 제22대국회 제418회(정기회) 제16차 과학기술정보방송통신위원회(전체회 | Keyword: 이훈 | Count: 34
File: 제22대국회 제418회(정기회) 제16차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 28
File: 제22대국회 제418회(정기회) 제16차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 21
File: 제22대국회 제418회(정기회) 제16차 과학기술정보방송통신위원회(전체회 | Keyword: 하지 | Count: 11
File: 제22대국회 제418회(정기회) 제16차 과학기술정보방송통신위원회(전체회 | Keyword: 국민 | Count: 9
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(정보통신 | Keyword: 대표발 | Count: 95
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(정보통신 | Keyword: 그다음 | Count: 24
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(정보통신 | Keyword: 이렇 | Count: 22
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(정보통신 | Keyword [contains 원회]: 위원회 | Count: 13
File: 제22대국회 제418회(정기회) 제17차 과학기술정보방송통신위원회(전체회 | Keyword: 대표발 | Count: 95
File: 제22대국회 제418회(정기회) 제17차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 24
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(정보통신 | Keyword [contains 원회]: 방송통신위원회부 | Count: 46
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 31
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(정보통신 | Keyword: 이렇 | Count: 19
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(정보통신 | Keyword: 필요 | Count: 13
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(과학기술 | Keyword: 대표발 | Count: 78
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(과학기술 | Keyword: 이렇 | Count: 34
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(과학기술 | Keyword: 그리 | Count: 31
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(과학기술 | Keyword: 필요 | Count: 24
File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(정보통신 | Keyword: 이렇 | Count: 12
File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 10
File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(정보통신 | Keyword: 그다음 | Count: 10
File: 제22대국회 제418회(정기회) 제18차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 38
File: 제22대국회 제418회(정기회) 제18차 과학기술정보방송통신위원회(전체회 | Keyword: 대표발 | Count: 36
File: 제22대국회 제418회(정기회) 제18차 과학기술정보방송통신위원회(전체회 | Keyword: 이훈 | Count: 17
File: 제22대국회 제418회(정기회) 제18차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 12
File: 제22대국회 제418회(정기회) 제19차 과학기술정보방송통신위원회(전체회 | Keyword: 국민 | Count: 29
File: 제22대국회 제418회(정기회) 제19차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 28
File: 제22대국회 제418회(정기회) 제19차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 11
File: 제22대국회 제418회(정기회) 제6차 과학기술정보방송통신위원회(정보통신 | Keyword [contains 원회]: 방송통신위원회부 | Count: 56
File: 제22대국회 제418회(정기회) 제6차 과학기술정보방송통신위원회(정보통신 | Keyword: 대표발 | Count: 20
File: 제22대국회 제418회(정기회) 제6차 과학기술정보방송통신위원회(정보통신 | Keyword: 이훈 | Count: 19
File: 제22대국회 제418회(정기회) 제6차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 16
File: 제22대국회 제418회(정기회) 제6차 과학기술정보방송통신위원회(정보통신 | Keyword: 국민 | Count: 12
File: 제22대국회 제418회(정기회) 제6차 과학기술정보방송통신위원회(정보통신 | Keyword [contains 원회]: 방송통신위원회방 | Count: 10
File: 제22대국회 제418회(정기회) 제20차 과학기술정보방송통신위원회(전체회 | Keyword: 국민 | Count: 33
File: 제22대국회 제418회(정기회) 제20차 과학기술정보방송통신위원회(전체회 | Keyword: 이훈 | Count: 29
File: 제22대국회 제418회(정기회) 제20차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 20
File: 제22대국회 제418회(정기회) 제20차 과학기술정보방송통신위원회(전체회 | Keyword: 대표발 | Count: 19
File: 제22대국회 제418회(정기회) 제20차 과학기술정보방송통신위원회(전체회 | Keyword [contains 원회]: 방송통신위원회사 | Count: 17
File: 제22대국회 제419회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 83
File: 제22대국회 제419회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 24
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 대표발 | Count: 45
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 이렇 | Count: 22
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 16
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 그다음 | Count: 13
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 필요 | Count: 12
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 그리 | Count: 32
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 대표발 | Count: 20
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 필요 | Count: 15
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 이렇 | Count: 15
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword [contains 원회]: 위원회안 | Count: 10
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 28
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 28
File: 제22대국회 제420회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 12
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword: 대표발 | Count: 44
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword: 필요 | Count: 30
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 26
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword: 그다음 | Count: 16
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 22
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword [contains 원회]: 방송통신위원회사 | Count: 18
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 17
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 17
File: 제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 14
File: 제22대국회 제422회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 대표발 | Count: 65
File: 제22대국회 제422회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 28
File: 제22대국회 제422회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 그다음 | Count: 21
File: 제22대국회 제422회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 이렇 | Count: 16
File: 제22대국회 제422회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 56
File: 제22대국회 제422회(임시회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 그리 | Count: 28
File: 제22대국회 제422회(임시회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 필요 | Count: 26
